	xKooFuss_d	yKooFuss_d	Formcode	Ra_Di_cm	Breit_cm	Objekt	Kopf_LV95_	Kopf_LV951	Fuss_LV95_	Fuss_LV951	AnzJR_Best	Mark_Best	WK_Best	Splint_Bes	Art_Best	DcEign	DmRek	mindDM	LabNr	Dat	Gte	DG	x	y
3494.00000000000	506.84	159.46	1.00	4.50	11.50	P			2683692.33	1246690.98	0.00		3	1.00	1	1	27.00		656073	-3234	a	1	2683692.33	1246690.98
9080.00000000000	509.39	161.36	1.00	6.00	4.00	P			2683693.75	1246693.83	17.00			0.00	5	4	0.00	12					2683693.75	1246693.83
20635.00000000000	512.99	147.20	1.00	12.00	9.00	P	2683703.3308	1246682.7951	2683703.33	1246682.80	24.00		4	0.00	16	4	0.00	23					2683703.33	1246682.79
24730.00000000000	488.80	123.00	1.00	9.50	6.00	P			2683692.59	1246650.31	0.00	m	4	1.00	1	2	22.00		656802	-3176	a	12	2683692.59	1246650.31
23445.00000000000	489.80	123.12	1.00	16.00	9.00	P			2683693.43	1246650.86	0.00	m	4	1.00	1	1	30.00		657081	-2885	a	4	2683693.43	1246650.86
4571.00000000000	475.25	173.09	1.00	11.00	9.00	P			2683657.98	1246688.97	0.00			1.00	1	1	36.00		656634	-2751	a	52	2683657.98	1246688.97
16313.00000000000	511.31	116.64	1.00	13.00	7.00	P			2683715.55	1246654.74	70.00		5	1.00	1	1	31.00		657092	-2753	a	51	2683715.55	1246654.74
7220.00000000000	504.70	169.75	1.00	8.00	4.00	P			2683685.79	1246699.22	25.00			0.00	7	4	0.00	18					2683685.79	1246699.22
28269.00000000000	460.68	161.55	1.00	9.50	10.00	P			2683650.15	1246672.12	63.00			1.00	1	2	19.00		657676	-2749	a	51	2683650.15	1246672.12
27716.00000000000	459.21	173.30	1.00	10.50	7.00	P			2683643.56	1246681.96	46.00			1.00	1	3	0.00	25	658104	-2892	b	102	2683643.56	1246681.96
13084.00000000000	494.13	172.03	1.00	13.00	8.50	P			2683675.33	1246696.51	39.00			1.00	1	3	0.00	30	655871	-3204	b	12	2683675.33	1246696.51
5972.00000000000	506.33	162.69	1.00	11.50	6.00	P			2683690.42	1246693.65	47.00		1	1.00	1	3	25.00		655962	-3233	b	1	2683690.42	1246693.65
17232.00000000000	445.63	176.43	1.00	10.00	12.00	P			2683630.01	1246678.66	57.00			1.00	1	1	0.00	25	657803	0	u		2683630.01	1246678.66
4643.00000000000	476.02	166.42	1.00	11.00	12.00	P			2683661.66	1246683.36	38.00			0.00	7	3	0.00	18					2683661.66	1246683.36
12025.00000000000	506.14	152.50	1.00	5.00	7.00	P			2683694.83	1246684.46	13.00	m	5	0.00	5	4	0.00						2683694.83	1246684.46
5381.00000000000	497.52	136.10	1.00	14.00	10.00	P			2683694.50	1246665.93	0.00		4	1.00	1	1	0.00	30	656743	-2883	a	4	2683694.50	1246665.93
19123.00000000000	514.27	124.39	1.00	12.00	11.00	P			2683714.72	1246662.99	0.00	m	3	1.00	1	1	22.00		656409	-2752	a	83	2683714.72	1246662.99
14747.00000000000	476.63	169.35	1.00	10.50	6.50	P			2683660.89	1246686.25	22.00		3	1.00	1	4	20.00						2683660.89	1246686.25
21349.00000000000	482.70	149.55	1.00	9.00	9.50	P			2683675.21	1246671.29	30.00		3	1.00	1	3	15.00		658317	0	u		2683675.21	1246671.29
10570.00000000000	477.95	173.55	1.00	14.50	6.00	P			2683660.19	1246690.60	0.00	m	5	1.00	1	1	28.00		655912	-3176	a	10	2683660.19	1246690.60
9254.00000000000	490.33	162.26	1.00	11.00	7.00	P			2683676.32	1246686.08	0.00		4	1.00	1	1	21.00		657693	-3175	a	12	2683676.32	1246686.08
24962.00000000000	476.74	148.11	1.00	14.50	5.50	P			2683670.53	1246667.32	0.00		4	1.00	1	1	28.00		657419	-3175	a	37	2683670.53	1246667.32
26023.00000000000	482.97	130.45	1.00	10.50	7.00	P			2683684.03	1246654.35	36.00		4	1.00	1	3	28.00		657684	-3170	b		2683684.03	1246654.34
26957.00000000000	474.12	143.27	1.00	9.00	4.00	P			2683670.37	1246661.82	27.00			0.00	1	4	0.00	21					2683670.37	1246661.82
18432.00000000000	483.61	163.65	1.00	8.50	5.00	P			2683669.69	1246684.29	54.00		5	1.00	1	3	15.00		657542	-3175	a	12	2683669.69	1246684.29
19404.00000000000	480.41	156.35	1.00	14.00	10.00	P			2683670.11	1246676.34	0.00		3	1.00	1	1	28.00		657522	-3190	b	10	2683670.11	1246676.34
27065.00000000000	502.70	179.00	1.00	4.50	11.00	P			2683679.85	1246706.59	40.00			0.00	7	3	0.00	22					2683679.85	1246706.59
